inventors_useme,n
DOERSCH PAUL,2.0
DONEPUDI SRIDHAR,2.0
DONG GAOQING,2.0
DONOVAN KENNETH B,2.0
DOROKHIN ALEKSEJ VJACHESLAVOVICH,2.0
DOUGLASS JOHN JAMES,2.0
DOUMA HUUB,2.0
DRAGAN ZENON,2.0
DROBNIS DAVID D,2.0
DRYSDALE RICHARD,2.0
ÐšÑƒÑ€ÑƒÑÑŒ ÐÐ°Ñ‚Ð°Ð»ÑŒÑ Ð’ÑÑ‡ÐµÑÐ»Ð°Ð²Ð¾Ð²Ð½Ð,2.0
DU XIAOBO,2.0
DUFFY MICHAEL J,2.0
DUNCAN WILLIAM DAVID,2.0
DYLAN TYLER M,2.0
ê¹€ì¤‘ìš,2.0
EISNER GERALD R,2.0
EL-DAMHOUGY HESHAM,2.0
ELISTRATOVA JULIJA ANATOL EVNA,2.0
ELSON ANDREW CHARLES,2.0
ENAN ESSAM,2.0
ENGEL MATTHEW BLAKE,2.0
EREMINA NATALYA VYACHESLAVOVNA,2.0
EVANS ROBERT B,2.0
FAN QUANFU,2.0
FAN SHOUSHAN,2.0
FAN XIAOYAO,2.0
FANG YU,2.0
FELDLE HEINZ-PETER,2.0
FELDSTEIN MICHAEL ALAN,2.0
FENG MAO,2.0
FENGXIANG NIU,2.0
FILIMONOV BORIS NIKOLAEVICH,2.0
FLEUREAU JULIEN,2.0
FLUHRER HELMUT,2.0
FOINET GILLES,2.0
FORTH BRADFORD J,2.0
FOSTER GLENN B,2.0
FRAME NATHAN T,2.0
FRANCESCHINI NICOLAS,2.0
FRANK DAVID L,2.0
FRANTZ JAMES B,2.0
FRASER SPENCER,2.0
FRERICHS TORSTEN,2.0
FRIESTH KEVIN LEE,2.0
FRITZNER CLAUS,2.0
FROESCHLE THOMAS A,2.0
FU SONGHAI,2.0
FU YINGWEI,2.0
FUCHS HELMUT,2.0
FUCHS MICHAEL J,2.0
FULLER BRAD ALLEN,2.0
FUNGE JOHN,2.0
FURUKAWA KAZUNARI,2.0
FUSHENG ZHANG,2.0
GALEEVA RAMZIYA TIMURSHOVNA,2.0
GANEM STEVEN J,2.0
GANESH JAIKUMAR,2.0
GARBIAN YAEL,2.0
GARCIA ANGEL M,2.0
GATLAND CHRISTOPHER DANIEL,2.0
GAVNEY JR JAMES ALBERT,2.0
GAVRILOV ANATOLIJ DMITRIEVICH,2.0
GAWRONSKI BRIAN J,2.0
GEIGER VINCENT,2.0
GEISE S IAN,2.0
GELINSKE JOSHUA N,2.0
GELMAN GEOFFREY M,2.0
GENESTE JEAN-FRANCOIS,2.0
GEORGES III JAMES A,2.0
GI YO,2.0
GIL REYNALDO,2.0
GLEE KATHERINE C,2.0
GLENN GREGORY M,2.0
GOLDEN HOWARD,2.0
GOLDSTEIN JONATHAN R,2.0
GOLODJAEV ALEKSANDR IVANOVICH,2.0
GONIA PATRICK,2.0
GOODMAN VERNON R,2.0
GORKA PAUL,2.0
GORSHECHNIKOV ANATOLY,2.0
GOTT STUART M,2.0
GOUDEAU JEAN-PHILIPPE,2.0
GRABER CURTIS E,2.0
GRAFFAGNINO VINCENT,2.0
GRANT JOHN,2.0
GRAS HERVE LE,2.0
GRISSOM MICHAEL D,2.0
GROSECLOSE DENNIS WILLIAM,2.0
GUHRING OLAF,2.0
GUILHOT GAUDEFFROY MICHEL,2.0
GUOQUAN SUN,2.0
HADSELL RAIA,2.0
HADZICKI JOSEPH R,2.0
HAGEN THOMAS,2.0
HALL ALEXANDER PHILIP,2.0
HALL-SNYDER NATHANIEL,2.0
HAMID SYED,2.0
HAMILTON BRUCE,2.0
HAMLER JESSE,2.0
HAMMEL BRADLEY BOMAR,2.0
HAMPTON SAMANTHA L,2.0
HAN BIN,2.0
HANCOCK MARTIN A,2.0
HANKEY DANA LYNN,2.0
HARDING WILLIAM V,2.0
HARKINS TOMAS G,2.0
HARTOV ALEX,2.0
HAUER BERNHARD,2.0
HAUSER EDWIN W,2.0
HAYNES MICHAEL N,2.0
HAYNES PAMELA E,2.0
HE MINGQING,2.0
HEATH CHESTER A,2.0
HEBENTHAL NANCY,2.0
HEINONEN TERO,2.0
HEITHECKER SVEN,2.0
HELDMANN HEINRICH,2.0
HELGERUD THOR CHRISTIAN,2.0
HELLUM KJELL ARNE,2.0
HEO SEUNG-JIN,2.0
HERRICK DAVID L,2.0
HERSHEY JOHN ERIK,2.0
HIERONS IAN PAUL,2.0
HILLIARD DONALD PATRICK,2.0
HILLIARD MICHAEL PATRICK,2.0
HODGE BRUCE,2.0
HODNETT TODD,2.0
HOFMANN RAY F,2.0
HOGLE RICHARD,2.0
HOISINGTON ZACHARY CHARLES,2.0
HOLLAHAN TERENCE,2.0
HOLLINGER STEVEN J,2.0
HOLMES RICHARD,2.0
HOLST EINAR,2.0
HONG KICHU,2.0
HORUK RICHARD,2.0
HORVITZ ERIC,2.0
HOURLIER SYLVAIN,2.0
HUANG QIANGWEI,2.0
HUANG XIN,2.0
HUBBELL WESLEY H,2.0
HUBER CHARLES F,2.0
