applicants_orgs_all,publication_number,applicants_orgs_all_1
Lazarillo De Tormes S L,WO2006037832,Lazarillo De Tormes S L
"K & G Enterprises, Llc",US20080289189,"K & G Enterprises, Llc"
Billcrest Products Limited,EP1005794,Billcrest Products Limited
Iteca Impianti Tecnologici Alimentari Speciali S P A,EP2261143,Iteca Impianti Tecnologici Alimentari Speciali S P A
"Thermal Solutions, Inc",US20010019051,"Thermal Solutions, Inc"
Oem Ali S P A,EP1767865,Oem Ali S P A
C L M S R L,EP1825755,C L M S R L
Ehrno Flexible A/S,EP2429923,Ehrno Flexible A/S
"Nottingham Spirk Design Associates, Inc",US20070284422,"Nottingham Spirk Design Associates, Inc"
Me & The Boys Pizza Emporium Inc,US5385292,Me & The Boys Pizza Emporium Inc
Superforni Rinaldi S.P.A,US4276465,Superforni Rinaldi S.P.A
Kirin Brewery Co Ltd,JP11243846,Kirin Brewery Co Ltd
Suzhou Institute Of Trade & Commerce,CN102630714,Suzhou Institute Of Trade & Commerce
C L M S R L,WO2009138281,C L M S R L
Dagens As,WO2010140894,Dagens As
Comas Spa,EP1129621,Comas Spa
"J. E. Grote Company, Inc",US4145990,"J. E. Grote Company, Inc"
The Pillsbury Company,US5445674,The Pillsbury Company
"Kraft Foods Holdings, Inc",PT1238588,"Kraft Foods Holdings, Inc"
C L M S R L,EP2279665,C L M S R L
Nestec,EP2493319,Nestec
American Can Company,US4173823,American Can Company
Iteca S P A,WO2008142660,Iteca S P A
Pietro:Kk,JP2000201616,Pietro:Kk
Hoerner Waldorf Corporation,US3861576,Hoerner Waldorf Corporation
"Mister Pizza Korea. Co., Ltd",WO2012128429,"Mister Pizza Korea. Co., Ltd"
Agape Trade Ag,US6257434,Agape Trade Ag
Willamette Industries Inc,US5535940,Willamette Industries Inc
"JenoS, Inc",US3788030,"JenoS, Inc"
Iteca S P A,EP2164334,Iteca S P A
"Graphic Packaging International, Inc",WO2007095227,"Graphic Packaging International, Inc"
"Fidelity Grafcor, Inc",US4441626,"Fidelity Grafcor, Inc"
Gap Container Corporation,US5076434,Gap Container Corporation
Fairmont Foods Company,US3648596,Fairmont Foods Company
Cabinplant Internat A S,EP1145635,Cabinplant Internat A S
Cabinplant Internat A S,CA2342959,Cabinplant Internat A S
"Graphic Packaging International, Inc",CA2641936,"Graphic Packaging International, Inc"
Wood Stone Corporation,WO2014176285,Wood Stone Corporation
Barilla Flli G & R,EP0532786,Barilla Flli G & R
Nippon Metal Works:Kk,JP11046663,Nippon Metal Works:Kk
Aokiizu Corp:Kk,JP10075709,Aokiizu Corp:Kk
Daewoo Electronics Corporation,KR1020060062230,Daewoo Electronics Corporation
Fairmont Foods Company,US3631818,Fairmont Foods Company
Daewoo Electronics Corporation,KR100156724,Daewoo Electronics Corporation
"Vending Universe, S.L",WO2000046766,"Vending Universe, S.L"
Oetker Nahrungsmittel,EP0687413,Oetker Nahrungsmittel
Fmc Corporation,US3908584,Fmc Corporation
Daewoo Electronics Corporation,KR1020060062231,Daewoo Electronics Corporation
The Stouffer Corporation,US5077455,The Stouffer Corporation
Snow Brand Milk Prod Co Ltd,JP10327739,Snow Brand Milk Prod Co Ltd
Nestec,CN102595912,Nestec
Cmt Costr Mecc & Tec,EP1286594,Cmt Costr Mecc & Tec
Nestle Sa,EP0471969,Nestle Sa
Pineblue,KR1020030082796,Pineblue
Nisshin Flour Milling Inc,JP2002119199,Nisshin Flour Milling Inc
Meiji Milk Prod Co Ltd,JP2007029010,Meiji Milk Prod Co Ltd
Kirin Beer Kabushiki Kaisya,WO1999044429,Kirin Beer Kabushiki Kaisya
"JenoS, Inc",US3765909,"JenoS, Inc"
Bluno:Kk,JP2006262703,Bluno:Kk
Chubu Electric Power Co Inc,JP2009005593,Chubu Electric Power Co Inc
Cmt Costruzioni Meccaniche E Tecnologia S.P.A,WO2001087072,Cmt Costruzioni Meccaniche E Tecnologia S.P.A
Ajinomoto Kk,JP2000102340,Ajinomoto Kk
Nisshin Flour Milling Inc,JP2006304735,Nisshin Flour Milling Inc
Dr. Oetker Tiefk´èèhlkost Gmbh,DE000003834167,Dr. Oetker Tiefk´èèhlkost Gmbh
"Chamsal Co., Ltd",KR1020090002715,"Chamsal Co., Ltd"
Cmt Costruzioni Meccaniche E Tecnologia S.P.A,WO2008107915,Cmt Costruzioni Meccaniche E Tecnologia S.P.A
Daewoo Electronics Corporation,KR100153699,Daewoo Electronics Corporation
